instance;obtuse_best;steiner_best;obtuse_dortmund;steiner_dortmund
ortho_10_d2723dcc;0;3;0;3
ortho_20_5a9e8244;0;6;0;8
ortho_20_e2aff192;0;5;0;6
ortho_40_56a6f463;0;19;0;37
ortho_40_df58ce3b;0;11;0;21
ortho_60_5c5796a0;0;20;0;33
ortho_60_c423f527;0;16;0;46
ortho_60_f744490d;0;15;0;50
ortho_80_06ee55d4;0;22;0;64
ortho_100_bd1e4a14;0;33;0;91
ortho_150_53eb4022;0;38;0;96
ortho_250_3b977f7e;0;76;0;217
ortho_250_6e6a66c2;0;81;0;166
