name,deviation,aspect_ratio,min_angle,max_angle,num_steiner,max_length
simple-polygon-exterior_40_11434792,12.4962,0.764986,3.89397,155.538,425,213.411
simple-polygon-exterior_40_7685a35e,13.2702,0.784742,2.44813,165.632,447,216.139
simple-polygon-exterior_40_785575e7,13.0712,0.801469,3.84738,169.641,445,196.499
simple-polygon-exterior_40_ff947945,13.1011,0.880005,1.36608,174.289,520,635.167
simple-polygon-exterior_60_1a49dffa,13.6777,0.833478,1.31714,171.351,419,219.966
simple-polygon-exterior_60_494df14f,12.9644,0.827937,1.02583,174.449,533,13.6473
simple-polygon-exterior_60_8670ab75,13.4388,0.810593,2.14759,173.089,545,6.78301
simple-polygon-exterior_60_881cf585,13.4624,0.794727,6.25578,160.486,418,217.557
simple-polygon-exterior_60_ba2c82c0,13.5891,0.820926,2.25457,164.621,502,4.77882
simple-polygon-exterior_80_22d34c7e,14.4248,0.834899,4.23792,163.744,424,217.121
simple-polygon-exterior_100_686dd044,13.6064,1.10278,0.332069,178.684,417,218.833
simple-polygon-exterior_100_f1740925,14.3285,0.835789,1.31714,171.351,446,218.86
simple-polygon-exterior_150_1301b82e,15.4782,0.88028,1.53643,171.924,488,252.322
simple-polygon-exterior_150_89d077ac,13.9198,0.874288,1.13484,177.312,547,13.7523
simple-polygon-exterior_150_fb998503,15.7952,1.2531,0.252197,178.592,355,507.895
simple-polygon-exterior_250_3f7ba0d3,16.6421,0.957146,2.02402,169.051,304,494.228
simple-polygon-exterior_250_a97729dd,15.7332,0.94462,1.00678,176.483,453,13.7523
simple-polygon-exterior_250_c0a19392,17.7661,1.13912,0.818455,177.795,295,505.796
simple-polygon-exterior-20_10_15783346,11.1328,0.732206,6.29058,142.525,335,196.211
simple-polygon-exterior-20_10_46c44a43,9.30979,0.708512,5.7791,135.387,367,152.315
simple-polygon-exterior-20_10_6fbd9669,9.8154,0.697581,11.1645,140.378,267,194.809
simple-polygon-exterior-20_10_868921c7,12.3868,0.777619,4.17692,169.12,350,112.347
simple-polygon-exterior-20_10_8c4306da,13.9643,0.878305,1.98851,171.399,274,198.327
simple-polygon-exterior-20_10_c6728228,11.5001,0.722196,9.1338,144.86,371,174.011
simple-polygon-exterior-20_10_ce9152de,11.058,0.738289,4.82412,137.777,279,181.011
simple-polygon-exterior-20_20_0f96fb2c,11.5058,0.823227,1.46234,165.166,463,3.92716
simple-polygon-exterior-20_20_1e719235,11.479,0.723465,8.27859,126.07,481,228.25
simple-polygon-exterior-20_20_4ddfa00e,12.2553,0.783178,4.41361,166.661,399,217.074
simple-polygon-exterior-20_20_52abeef5,12.0389,0.740769,9.57544,151.229,304,454.004
simple-polygon-exterior-20_20_c27f41dd,12.5939,0.777316,3.14146,170.882,382,209.482
simple-polygon-exterior-20_20_e64ff8fc,11.8456,0.738945,5.52791,152.357,416,203.931
simple-polygon-exterior-20_20_eb63a5b6,12.1974,0.742119,5.46543,167.825,433,210.764
simple-polygon-exterior-20_40_317d3f6d,12.6289,0.764835,5.57391,142.125,518,4.47214
simple-polygon-exterior-20_40_5faf6985,12.4509,0.772707,2.60256,150.832,462,4.51125
simple-polygon-exterior-20_40_65de7236,12.9288,0.809245,1.83883,175.199,482,13.2387
simple-polygon-exterior-20_40_8ad14096,13.1693,0.764101,5.70767,158.491,476,217.846
simple-polygon-exterior-20_40_b9ab4f03,13.0376,0.779537,4.85737,167.294,397,208.641
simple-polygon-exterior-20_60_28a85662,13.0044,0.804204,1.52102,171.343,407,214.509
simple-polygon-exterior-20_60_53ad6d23,12.8434,0.793424,2.40597,160.287,504,4.63036
simple-polygon-exterior-20_60_57cd1db6,13.9985,1.56013,0.101422,174.634,305,346.283
simple-polygon-exterior-20_60_8221c868,12.9898,0.825557,1.64267,160.665,467,251.023
simple-polygon-exterior-20_60_e6f13145,13.6115,0.828516,0.833334,177.639,548,819.296
simple-polygon-exterior-20_80_1c5fcde7,12.5387,0.755466,7.87821,149.194,403,217.121
simple-polygon-exterior-20_80_889602ae,13.6151,0.864916,0.543363,177.256,403,214.068
simple-polygon-exterior-20_80_f6e462fb,12.7936,0.784085,4.0078,170.194,447,216.481
simple-polygon-exterior-20_100_512f0fc4,13.1594,0.776555,2.60256,150.832,540,4.88352
simple-polygon-exterior-20_100_7ed1ca87,14.3016,1.03831,0.543363,177.256,358,217.81
simple-polygon-exterior-20_100_8bfbe418,13.4331,0.874653,0.615009,174.372,408,219.736
simple-polygon-exterior-20_100_8d1c2e30,13.2606,0.790799,2.60256,150.832,574,4.92443
simple-polygon-exterior-20_100_8ff7a64d,13.6559,1.10481,0.332069,178.684,413,219.691
simple-polygon-exterior-20_100_c256488f,14.0198,0.856711,2.8106,170.996,398,217.555
simple-polygon-exterior-20_150_7768dd44,14.3475,0.946418,1.01151,173.674,510,252.413
simple-polygon-exterior-20_250_0c9fa44e,17.3641,1.03616,0.694885,174.835,300,497.699
simple-polygon-exterior-20_250_4441b4ca,15.6008,0.907701,2.68187,165.677,460,13.7523
simple-polygon-exterior-20_250_823ed1ae,17.4448,1.01455,1.04939,175.722,247,502.293
simple-polygon-exterior-20_250_eb5ab92f,15.345,0.924252,0.868051,177.625,464,13.7523
