ratio
3.13032
1.64525
2.66331
2.61203
2.09865
1.65302
2.42561
3.63056
1.73125
2.1527
2.40748
2.80057
2.43508
1.74004
3.1871
1.45116
2.12428
1.84956
2.44298
1.40642
2.05433
1.63341
2.41126
1.65107
2.08658
1.99309
1.47466
3.16893
2.1172
1.5888
2.47783
1.50771
4.33706
2.74842
2.54624
1.78683
2.24039
2.09493
2.27812
1.84977
2.05176
1.44632
2.20208
2.76209
1.56936
2.43376
2.69037
2.20878
2.28755
2.50672
2.11283
2.20344
1.75979
1.76565
1.85188
1.82214
1.48891
1.8477
2.4957
1.49546
1.79425
1.8122
1.55946
1.74122
2.06098
1.82302
1.97996
1.79097
1.5518
1.8361
1.68204
1.79173
1.7294
1.99237
1.45458
2.70302
1.79373
1.61402
1.82054
1.77577
1.74363
1.69745
1.87024
1.62534
1.82261
2.28436
1.50292
3.52399
2.52068
1.90672
2.34674
2.00392
1.48153
1.64634
2.56226
2.31489
2.31243
2.31526
1.44669
2.09035
1.82659
1.47662
2.1429
1.63034
1.79489
2.05488
1.84594
1.96628
1.99651
2.4013
2.04287
1.97623
1.86634
2.14233
1.67656
2.17053
1.82522
2.08994
1.81309
1.51535
2.1795
1.47698
1.91115
1.83633
2.95536
1.75179
2.31308
1.85332
1.45578
2.08588
2.32568
1.38063
2.16606
1.83103
1.55626
1.73311
2.1591
1.73545
1.56181
2.63053
1.86512
1.55028
3.31135
2.87186
1.94387
1.94387
1.8926
2.25242
1.78639
1.7248
1.53355
2.0828
1.81495
1.90963
1.60942
1.56461
1.4795
1.8199
2.15127
1.88607
1.61748
2.2295
1.84958
2.30108
1.50989
1.99152
2.78411
1.52034
2.10423
2.11433
1.71152
2.01565
1.48683
1.68873
1.95441
2.11868
1.96978
1.87668
1.85363
2.06249
1.87486
2.59537
1.46258
1.7118
2.51842
2.51218
2.62875
2.10553
1.72984
2.2079
2.75655
1.40608
1.70439
1.84609
1.88197
1.78038
1.59778
1.81945
1.94657
2.39848
1.43906
2.25813
2.04719
1.63106
1.92755
1.86643
1.57281
2.13731
2.27767
1.72473
1.93245
1.98952
1.69114
1.81852
1.82461
1.55735
2.46092
1.95429
1.45876
2.16954
2.10245
1.43132
2.29502
2.94323
1.58178
4.09576
4.38391
4.95635
1.55363
2.50837
1.68905
2.03933
1.73014
1.69163
2.17992
1.77536
1.67424
1.63978
2.55399
2.17296
2.76317
1.85375
1.48693
1.59551
1.75314
1.79719
1.84749
2.96421
4.25611
2.98729
1.67297
4.28925
1.75893
2.32073
1.5337
2.36815
1.97968
1.4832
2.06548
2.06548
1.87373
1.71881
1.81955
1.55532
1.95842
2.05157
1.4729
3.23622
3.30724
3.73326
1.7106
2.15928
2.14397
2.86867
2.58991
1.17487
2.33084
3.5159
1.58374
2.23861
1.8648
1.82316
1.97204
2.17927
1.78544
2.0635
1.95777
1.96885
2.01073
2.91138
1.6864
2.29886
1.57332
3.04769
1.82076
1.87581
1.51089
2.11796
2.06022
1.72894
2.01333
4.36626
1.42093
2.07046
1.55643
1.64198
2.515
1.76543
2.27219
1.69962
2.14327
2.04496
1.65533
1.78254
2.14149
1.80071
2.10279
1.68036
2.16982
1.61857
1.86306
1.76983
2.09265
1.49241
3.18001
1.98982
1.91137
2.44595
2.44595
1.72593
2.0764
2.39971
1.44065
2.22891
1.96175
1.48502
2.2803
2.24851
1.51059
1.90541
2.49784
1.85145
1.76169
3.03172
1.82224
2.24115
1.98743
1.46389
3.10254
1.686
1.79713
2.50482
1.74824
1.9232
2.39425
1.95448
1.43709
1.74601
1.70762
2.11507
2.57147
1.84032
2.23018
1.86939
2.02023
1.55639
2.05353
1.88479
1.75391
2.18694
2.18694
1.64869
1.77819
2.09739
1.68264
1.91674
2.11953
1.72018
1.80887
1.80628
1.52316
2.31701
1.90361
1.61532
2.11647
1.99464
1.66276
1.92885
2.23001
1.41012
1.84692
1.81518
1.54285
2.05037
2.19273
1.44457
1.80468
2.14723
1.52166
2.18036
1.95145
1.4837
1.67215
2.41194
1.76097
2.54009
1.47165
1.85453
2.16519
2.44149
1.16731
2.75109
1.66142
2.20524
1.41767
4.65869
3.34756
1.87464
2.79432
1.45986
2.6215
1.62575
1.50589
2.39745
1.91712
1.53959
2.14554
2.3562
1.56197
2.1432
1.82552
1.45953
1.89537
1.84229
1.488
1.87906
2.01153
1.72715
2.07095
1.50078
1.99057
1.69559
2.19094
2.73417
1.46132
1.61689
2.38048
1.57698
2.1614
1.59033
2.29124
1.96209
1.40648
2.60874
3.63051
1.66802
1.94317
1.78203
2.03169
1.83188
1.97109
1.55664
2.19648
1.82862
1.48734
2.23374
1.95027
1.44112
2.0696
1.69197
1.80696
1.78939
2.06137
1.511
2.22345
1.88883
1.4321
1.95195
3.00002
2.44034
2.18379
2.68463
2.0479
1.52816
2.00637
1.91355
2.40205
2.40205
1.84693
1.69294
2.09517
1.81538
2.23219
1.45268
1.9341
1.84986
2.22199
1.66812
2.01411
1.7683
1.72913
1.84079
2.28152
1.54084
2.27797
2.10162
1.48364
1.89448
2.25489
1.6125
2.30473
1.88089
1.65654
2.55902
1.81478
1.4382
1.9775
1.91787
1.49099
2.14935
1.79335
1.48016
2.04155
2.30217
1.44614
2.6788
1.60289
2.30095
1.98708
1.55608
1.86814
2.80845
2.25122
1.20693
2.43963
2.65246
1.42854
1.86105
1.91006
1.52017
1.89563
1.78944
1.5375
1.83047
1.82516
1.51599
1.88682
1.91166
1.45554
1.53298
2.14462
1.62696
2.02891
2.22569
1.51617
1.83865
1.85927
1.51476
1.99315
2.02446
1.43523
1.87073
1.68424
1.82473
1.78769
1.8466
1.77032
1.69542
2.21638
1.80364
2.12632
2.03814
