name,deviation,min_angle,max_angle,num_steiner
simple-polygon-exterior_10_310dc6c7,9.60307,11.9442,114.475,328
simple-polygon-exterior_10_40642b31,9.82737,11.7987,112.301,298
simple-polygon-exterior_10_8b098f5e,13.9297,0.771378,127.452,613
simple-polygon-exterior_10_c5616894,11.3492,8.44095,116.858,291
simple-polygon-exterior_20_2a7302a0,10.1556,9.33158,117.12,299
simple-polygon-exterior_20_7520a1da,13.9515,2.20629,124.025,522
simple-polygon-exterior_20_87cff693,12.2922,2.60871,120.387,445
simple-polygon-exterior_20_92dcd467,13.362,1.13379,137.15,623
simple-polygon-exterior_20_ff791267,13.4312,3.47503,129.171,376
simple-polygon-exterior_40_11434792,11.4754,3.89397,122.109,374
simple-polygon-exterior_40_7685a35e,12.1736,5.38846,125.722,408
simple-polygon-exterior_40_785575e7,12.046,3.84738,135.892,461
simple-polygon-exterior_40_ff947945,13.5151,1.36608,130.737,740
simple-polygon-exterior_60_1a49dffa,12.7,8.01801,127.489,424
simple-polygon-exterior_60_494df14f,12.8881,2.08257,134.382,609
simple-polygon-exterior_60_8670ab75,12.6794,2.14759,136.397,567
simple-polygon-exterior_60_881cf585,12.7856,6.25578,128.764,408
simple-polygon-exterior_60_ba2c82c0,12.3188,2.25457,135.814,562
simple-polygon-exterior_80_22d34c7e,13.075,5.64072,131.394,467
simple-polygon-exterior_100_686dd044,15.1075,0.332069,139.821,865
simple-polygon-exterior_100_f1740925,13.424,4.34238,129.846,473
simple-polygon-exterior_150_1301b82e,14.5531,3.75698,154.533,600
simple-polygon-exterior_150_89d077ac,14.716,1.13484,138.969,672
simple-polygon-exterior_150_fb998503,15.8215,0.252197,157.169,992
simple-polygon-exterior_250_3f7ba0d3,15.5562,2.02402,124.951,561
simple-polygon-exterior_250_a97729dd,15.6162,3.17983,133.444,779
simple-polygon-exterior_250_c0a19392,15.9925,0.924822,133.572,792
