name,deviation,aspect_ratio,min_angle,max_angle
simple-polygon-exterior-20_100_512f0fc4,17.6686,inf,0,150.832,165
simple-polygon-exterior-20_100_7ed1ca87,19.1449,2.46003,0.0604958,179.652,531
