instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
simple-polygon-exterior-20_10_15783346,336,330,102,19
simple-polygon-exterior-20_10_46c44a43,311,307,88,8
simple-polygon-exterior-20_10_6fbd9669,251,246,73,9
simple-polygon-exterior-20_10_868921c7,329,324,119,22
simple-polygon-exterior-20_10_8c4306da,354,349,163,38
simple-polygon-exterior-20_10_c6728228,323,320,93,24
simple-polygon-exterior-20_10_ce9152de,268,267,82,23
simple-polygon-exterior-20_20_0f96fb2c,536,529,222,52
simple-polygon-exterior-20_20_1e719235,430,418,126,21
simple-polygon-exterior-20_20_4ddfa00e,387,383,126,43
simple-polygon-exterior-20_20_52abeef5,311,300,97,23
simple-polygon-exterior-20_20_c27f41dd,375,366,120,33
simple-polygon-exterior-20_20_e64ff8fc,354,347,122,37
simple-polygon-exterior-20_20_eb63a5b6,394,390,146,37
simple-polygon-exterior-20_40_317d3f6d,437,427,133,31
simple-polygon-exterior-20_40_5faf6985,465,453,156,36
simple-polygon-exterior-20_40_65de7236,575,560,222,42
simple-polygon-exterior-20_40_8ad14096,396,389,133,40
simple-polygon-exterior-20_40_b9ab4f03,413,400,173,29
simple-polygon-exterior-20_60_28a85662,436,425,199,53
simple-polygon-exterior-20_60_53ad6d23,504,495,190,73
simple-polygon-exterior-20_60_57cd1db6,453,436,234,70
simple-polygon-exterior-20_60_8221c868,558,549,253,67
simple-polygon-exterior-20_60_e6f13145,570,553,242,76
simple-polygon-exterior-20_80_1c5fcde7,398,384,160,49
simple-polygon-exterior-20_80_889602ae,440,423,209,63
simple-polygon-exterior-20_80_f6e462fb,401,387,176,60
simple-polygon-exterior-20_100_512f0fc4,488,469,211,60
simple-polygon-exterior-20_100_7ed1ca87,825,793,431,151
simple-polygon-exterior-20_100_8bfbe418,504,488,245,81
simple-polygon-exterior-20_100_8d1c2e30,498,481,220,80
simple-polygon-exterior-20_100_8ff7a64d,851,814,438,152
simple-polygon-exterior-20_100_c256488f,517,496,280,96
simple-polygon-exterior-20_150_7768dd44,748,713,427,145
simple-polygon-exterior-20_250_0c9fa44e,528,501,407,191
simple-polygon-exterior-20_250_4441b4ca,628,606,432,210
simple-polygon-exterior-20_250_823ed1ae,546,517,446,209
simple-polygon-exterior-20_250_eb5ab92f,724,707,447,190
