name,deviation
ortho_10_d2723dcc,8.46035
ortho_20_5a9e8244,9.00531
ortho_20_e2aff192,9.52713
ortho_40_56a6f463,10.8497
ortho_40_df58ce3b,10.7915
ortho_60_5c5796a0,18.5882
ortho_60_c423f527,10.7967
ortho_60_f744490d,12.9538
ortho_80_06ee55d4,13.1127
ortho_100_bd1e4a14,13.9595
ortho_150_53eb4022,15.8085
ortho_250_3b977f7e,16.2378
ortho_250_6e6a66c2,15.6233
