name,deviation,aspect_ratio,min_angle,max_angle,num_steiner,max_length
simple-polygon-exterior-20_80_1c5fcde7,14.0831,0.788188,8.20611,149.194,435,218.056
simple-polygon-exterior-20_80_889602ae,14.3033,0.865795,0.543363,177.256,429,214.068
simple-polygon-exterior-20_80_f6e462fb,14.2066,0.807701,4.0078,170.194,463,216.481
simple-polygon-exterior-20_100_512f0fc4,13.8723,0.797672,2.60256,150.832,547,4.85412
simple-polygon-exterior-20_100_7ed1ca87,14.7755,1.11299,0.510392,177.256,406,218.306
simple-polygon-exterior-20_100_8bfbe418,14.133,0.885976,0.615009,174.372,442,219.876
simple-polygon-exterior-20_100_8d1c2e30,14.1687,0.805044,2.60256,150.832,581,4.92443
simple-polygon-exterior-20_100_8ff7a64d,14.1453,1.08237,0.332069,178.684,436,218.995
simple-polygon-exterior-20_100_c256488f,14.3838,0.853735,2.8106,170.996,401,218.029
simple-polygon-exterior-20_150_7768dd44,15.2184,0.964628,1.01151,173.674,503,254.487
simple-polygon-exterior-20_250_0c9fa44e,17.6199,0.992386,1.00292,174.835,332,497.699
simple-polygon-exterior-20_250_4441b4ca,15.7507,0.880273,3.17983,165.677,508,13.8813
simple-polygon-exterior-20_250_823ed1ae,17.5458,1.00256,1.04939,175.722,276,502.293
simple-polygon-exterior-20_250_eb5ab92f,16.1001,0.934855,0.868051,177.625,505,13.7523
