instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
simple-polygon-exterior-20_10_15783346,336,329,102,18
simple-polygon-exterior-20_10_46c44a43,311,302,88,9
simple-polygon-exterior-20_10_6fbd9669,251,245,73,16
simple-polygon-exterior-20_10_868921c7,329,322,119,23
simple-polygon-exterior-20_10_8c4306da,354,344,163,48
simple-polygon-exterior-20_10_c6728228,323,313,93,28
simple-polygon-exterior-20_10_ce9152de,268,264,82,28
simple-polygon-exterior-20_20_0f96fb2c,536,525,222,61
simple-polygon-exterior-20_20_1e719235,430,412,126,27
simple-polygon-exterior-20_20_4ddfa00e,387,372,126,46
simple-polygon-exterior-20_20_52abeef5,311,292,97,22
simple-polygon-exterior-20_20_c27f41dd,375,366,120,40
simple-polygon-exterior-20_20_e64ff8fc,354,342,122,40
simple-polygon-exterior-20_20_eb63a5b6,394,385,146,44
simple-polygon-exterior-20_40_317d3f6d,437,423,133,35
simple-polygon-exterior-20_40_5faf6985,465,449,156,41
simple-polygon-exterior-20_40_65de7236,575,554,222,55
simple-polygon-exterior-20_40_8ad14096,396,386,133,45
simple-polygon-exterior-20_40_b9ab4f03,413,393,173,37
simple-polygon-exterior-20_60_28a85662,436,420,199,64
simple-polygon-exterior-20_60_53ad6d23,504,485,190,85
simple-polygon-exterior-20_60_57cd1db6,453,429,234,80
simple-polygon-exterior-20_60_8221c868,558,541,253,90
simple-polygon-exterior-20_60_e6f13145,570,548,242,96
simple-polygon-exterior-20_80_1c5fcde7,398,379,160,59
simple-polygon-exterior-20_80_889602ae,440,417,209,79
simple-polygon-exterior-20_80_f6e462fb,401,382,176,71
simple-polygon-exterior-20_100_512f0fc4,488,464,211,68
simple-polygon-exterior-20_100_7ed1ca87,825,790,431,196
simple-polygon-exterior-20_100_8bfbe418,504,485,245,112
simple-polygon-exterior-20_100_8d1c2e30,498,478,220,103
simple-polygon-exterior-20_100_8ff7a64d,851,809,438,193
simple-polygon-exterior-20_100_c256488f,517,492,280,109
simple-polygon-exterior-20_150_7768dd44,748,712,427,174
simple-polygon-exterior-20_250_0c9fa44e,528,501,407,231
simple-polygon-exterior-20_250_4441b4ca,628,599,432,257
simple-polygon-exterior-20_250_823ed1ae,546,517,446,250
simple-polygon-exterior-20_250_eb5ab92f,724,702,447,225
